pv,tipo,empresa_informante,procedencia,procdet,geojson
OESTE-RDLS-CAT- CERRO HAMACA OESTE VTO CHO,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,CERRO HAMACA OESTE,"{""type"":""Point"",""coordinates"":[-68.5172199979284,-37.7122200005298]}"
OESTE-RDLS-CAT-VOLCAN AUCA MAHUIDA VTO VAM,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,VOLCAN AUCA MAHUIDA,"{""type"":""Point"",""coordinates"":[-68.9702799968432,-37.8069400015032]}"
Punto de Venteo NÂ° 7,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,RIO NEUQUEN,"{""type"":""Point"",""coordinates"":[-68.196141325,-38.7502207869999]}"
OESTE-MZAS-GAS-BAT LOMA DE LA MINA,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,LOMA DE LA MINA,"{""type"":""Point"",""coordinates"":[-69.513415384,-34.9214095849999]}"
PILETA DE VENTEO BAT RGD-28,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,RIO GRANDE,"{""type"":""Point"",""coordinates"":[-69.605965308552,-36.2160526758901]}"
PILETA DE VENTEO LCa-1 Extraordinario,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,LOS CAVAOS,"{""type"":""Point"",""coordinates"":[-69.6501385721372,-36.093582936703]}"
OESTE-MZAS-GAS-BAT PAMPA PALAUCO,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PAMPA PALAUCO,"{""type"":""Point"",""coordinates"":[-69.5300330500663,-36.0677246049215]}"
OESTE-MZAS-GAS-PTC CERRO DIVISADERO,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PTC CDD,"{""type"":""Point"",""coordinates"":[-69.6847289528576,-36.0105062304311]}"
OESTE-MZAN-VENTEO PTG-BCAS - Extraordinario,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PLANTA COMPRESORA,"{""type"":""Point"",""coordinates"":[-68.7766542157194,-33.1285135201828]}"
OESTE-MZAS-GAS-BAT CF-1,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,CERRO FORTUNOSO,"{""type"":""Point"",""coordinates"":[-69.362983188,-36.197193725]}"
PTA-MEMBRANA-CL-GAS ACIDO,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,Sin Dato,"{""type"":""Point"",""coordinates"":[-67.751133816126,-46.6093415061913]}"
OESTE-MZAS-LC-MG GAS VTEO PLANTA Extraordinario,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PLANTA DE TRATAMIENTO LOS CAVAOS,"{""type"":""Point"",""coordinates"":[-69.6516376769999,-36.088754868]}"
OESTE-MZAN-VENTEO BAT-B-10,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,YACIMIENTO BARRANCAS - BATERIAS DE PRODUCCIÃN,"{""type"":""Point"",""coordinates"":[-68.779623579,-33.1969715389999]}"
PCGELG02,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PLANTA COMPRESORA,"{""type"":""Point"",""coordinates"":[-69.2704467949999,-46.383920868]}"
ANTORCHA- PUNTO B,CHIMENEA DE QUEMA,PAN AMERICAN ENERGY SL,YACIMIENTO,PUNTO B,"{""type"":""Point"",""coordinates"":[-68.597747664868,-38.649849636752]}"
PV-EM-01,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,EL MEDANITO,"{""type"":""Point"",""coordinates"":[-67.9444649021214,-38.062241725779]}"
LTSADA01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,LTSADA01,"{""type"":""Point"",""coordinates"":[-69.1407728615783,-38.2311947946041]}"
Punto de venteo,FOSA DE QUEMA,TOTAL AUSTRAL S.A.,PLANTA COMPRESORA,Planta CaÃ±adon Alfa,"{""type"":""Point"",""coordinates"":[-68.5548289482974,-52.7361488800294]}"
Recoleccion de separadores,FOSA DE QUEMA,TOTAL AUSTRAL S.A.,PLANTA COMPRESORA,Planta CaÃ±adon Alfa,"{""type"":""Point"",""coordinates"":[-68.5883095608163,-52.7338587587603]}"
ANTORCHA- PCLOR 3,CHIMENEA DE QUEMA,PAN AMERICAN ENERGY SL,YACIMIENTO,PCLOR 3,"{""type"":""Point"",""coordinates"":[-68.2948577016134,-38.7199397374212]}"
Antorcha L-790 - Tag: PRCD2-L790,CHIMENEA DE QUEMA,PAN AMERICAN ENERGY SL,YACIMIENTO,PRG-CD2,"{""type"":""Point"",""coordinates"":[-68.2927437857897,-45.7632760736395]}"
Antorcha L-101 - Tag: TPC-L-101,CHIMENEA DE QUEMA,PAN AMERICAN ENERGY SL,YACIMIENTO,Tres Picos 01,"{""type"":""Point"",""coordinates"":[-68.5952056215356,-45.8810943891448]}"
Antorcha L-790 - Tag: AGC-L-790,CHIMENEA DE QUEMA,PAN AMERICAN ENERGY SL,YACIMIENTO,PCG-AG1,"{""type"":""Point"",""coordinates"":[-68.9657367245511,-45.8316930865977]}"
ANTORCHA- LOC3,CHIMENEA DE QUEMA,PAN AMERICAN ENERGY SL,YACIMIENTO,LOC3,"{""type"":""Point"",""coordinates"":[-68.5134437246434,-38.6970502218779]}"
Antorcha L-790 - Tag: CDC-L-790,CHIMENEA DE QUEMA,PAN AMERICAN ENERGY SL,YACIMIENTO,PCG-CD1,"{""type"":""Point"",""coordinates"":[-68.2946058713856,-45.7671837523329]}"
Antorcha L-1 - Tag: L-1,CHIMENEA DE QUEMA,PAN AMERICAN ENERGY SL,YACIMIENTO,Bayo 01,"{""type"":""Point"",""coordinates"":[-69.0260403214883,-46.0799870358438]}"
Antorcha L-1 - Tag: L-1,CHIMENEA DE QUEMA,PAN AMERICAN ENERGY SL,YACIMIENTO,Zorro 03,"{""type"":""Point"",""coordinates"":[-68.5428186860359,-45.8709974207]}"
Antorcha L-1 - Tag: PRG1Z-L-1,CHIMENEA DE QUEMA,PAN AMERICAN ENERGY SL,YACIMIENTO,Zorro 02,"{""type"":""Point"",""coordinates"":[-68.5435009172996,-45.863351029206]}"
Antorcha L-1 - Tag: L-1 (MOD: TEFG-1275 S/N:6428-*,CHIMENEA DE QUEMA,PAN AMERICAN ENERGY SL,YACIMIENTO,Valle Hermoso 01,"{""type"":""Point"",""coordinates"":[-68.5332475431555,-45.781362792645]}"
Antorcha L-115 - Tag: VHC-L-115,CHIMENEA DE QUEMA,PAN AMERICAN ENERGY SL,YACIMIENTO,Valle Hermoso 02,"{""type"":""Point"",""coordinates"":[-68.5330504186832,-45.7865143572217]}"
Antorcha L-1 - Tag: L-1,CHIMENEA DE QUEMA,PAN AMERICAN ENERGY SL,YACIMIENTO,Zorro 01,"{""type"":""Point"",""coordinates"":[-68.5486452990247,-45.8759414795699]}"
Antorcha L-792 - Tag: L-792,CHIMENEA DE QUEMA,PAN AMERICAN ENERGY SL,YACIMIENTO,CD1000,"{""type"":""Point"",""coordinates"":[-68.2921111670224,-45.7701244385068]}"
L-2,CHIMENEA DE QUEMA,PAN AMERICAN ENERGY SL,YACIMIENTO,Planta Tratamiento Gas Piquirenda,"{""type"":""Point"",""coordinates"":[-63.7700681060516,-22.3521753394625]}"
L-3101,CHIMENEA DE QUEMA,PAN AMERICAN ENERGY SL,YACIMIENTO,Planta Tratamiento Gas Piquirenda,"{""type"":""Point"",""coordinates"":[-63.7697644400438,-22.350988060683]}"
SPC-L-880,CHIMENEA DE QUEMA,PAN AMERICAN ENERGY SL,YACIMIENTO,PCG Planta San Pedrito,"{""type"":""Point"",""coordinates"":[-63.9902751983451,-22.3446398093462]}"
MNC-L-880,CHIMENEA DE QUEMA,PAN AMERICAN ENERGY SL,YACIMIENTO,PCG Planta Macueta,"{""type"":""Point"",""coordinates"":[-63.909446188779,-22.0357138689729]}"
BATSBR07-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATSBR07,"{""type"":""Point"",""coordinates"":[-68.874362451,-38.738108279]}"
